cost_type,sheet,cell_pos,factor_names,range_lower,range_upper,is_cat
production,Dashboard,L14,setupCost,1000.0,1000000.0,False
production,Dashboard,L16,Cost,1000.0,1000000.0,False
production,Dashboard,E5,num_devices,1000.0,1000000.0,True
production,Dashboard,E10,species_no,19.0,23.0,True
production,Conversions,F7,col_spawn_gam_bun,22500.0,27500.0,True
production,Conversions,G8,gam_bun_egg,10.0,14.0,True
production,Conversions,H9,egg_embryo,0.7,0.9,False
production,Conversions,I10,embryo_freeswim,0.7,0.9,False
production,Conversions,J11,freeswim_settle,0.7,0.9,False
production,Conversions,K12,settle_ready,0.7,0.9,False
production,Conversions,K14,just_unit,6.0,9.0,True
production,Conversions,O14,just_mature,0.7,0.9,False
production,Conversions,R19,1YOEC_yield,0.7,0.8,False
production,Logistics,E15,optimal_rear_dens,1.0,3.0,True